station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,snow_in,snowd_in,climo_high_f,climo_low_f,climo_precip_in
EVU,2024-01-01,38.7,25.3,26.2,22,,4.9303136,237.73734,57.9841,77.75376,89.46237,,,34.5,15.4,0.03
OZS,2024-01-01,33.8,24.8,23,19.4,,3.8118467,307.03745,64.22933,72.17883,86.068695,,,44.5,26.4,0.08
SZL,2024-01-01,38,22.3,24,18.7,,4.3679442,286.95355,56.18267,73.591606,87.36803,,,38.7,19.8,0.07
MHL,2024-01-01,33.8,26.6,26.6,23,,3.9442508,273.4273,69.04303,79.81242,86.281944,,,37.4,20.2,0.05
HAE,2024-01-01,32,24.8,26.6,21.2,,4.324042,288.62445,69.04303,74.9297,86.068695,,,35.3,19.5,0.07
TKX,2024-01-01,37.4,32,30.2,26.6,,5.3867598,351.09857,64.69628,71.40601,86.49047,,,45.6,30.7,0.12
STL,2024-01-01,36,33,26,23,0.0001,6.95181,294.76306,58.846294,65.32626,69.39407,0.0001,0,40.9,25.1,0.1
H21,2024-01-01,,,,,,,,,,,,,44.5,26.4,0.08
TBN,2024-01-01,33.3,21.7,24.8,19,,1.5087107,323.8994,69.99892,75.60454,87.67566,,,41.9,22.1,0.14
AIZ,2024-01-01,,,,,0,2.915738,328.69135,,,,,,44.5,26.4,0.08
DMO,2024-01-01,36,24,24,21,0,4.9531646,282.68552,61.22818,73.00925,81.088165,,,39.2,22.2,0.06
IRK,2024-01-01,32,21,22,19,0,5.7352433,268.2609,66.06888,78.48483,88.0248,,,35,18.8,0.06
JEF,2024-01-01,35,24,24,21,0,4.5186763,325.47812,61.22818,71.57668,84.593315,0,0,41.5,23.2,0.08
MCI,2024-01-01,36,22,24,20,0,5.300755,250.12132,61.36589,78.267555,95.856476,0,0,38.8,20.5,0.04
HFJ,2024-01-01,35.6,26.6,26.6,23,,3.8327527,10.207819,69.04303,75.77966,86.068695,,,44.1,24.7,0.1
FAM,2024-01-01,,,,,,,,,,,,,43.1,23.7,0.1
MYJ,2024-01-01,32,21.2,26.6,19.4,,5.4808364,295.97632,74.26174,85.09001,100,,,38.1,20.5,0.06
UNO,2024-01-01,34,20,24,17,0,4.605574,348.5047,63.452442,71.670166,84.394104,,,44.2,25,0.09
FWB,2024-01-01,39.2,28.4,24.8,24.8,,2.7844522,1.2744741,55.951183,74.37961,86.17592,,,44.6,23,0.08
IRK,2024-01-02,42,20,29,19,0,5.7352433,227.9124,62.044937,81.6076,95.875374,,,34.9,18.6,0.06
MYJ,2024-01-02,41,19.4,30.2,19.4,,6.055749,211.1676,65.15513,87.15454,100,,,38,20.3,0.07
DMO,2024-01-02,43,21,29,19,0,6.6911173,215.14857,57.442577,74.94864,88.12936,,,39.1,22,0.05
HFJ,2024-01-02,42.8,24.8,30.2,21.2,,4.554007,187.14362,60.786903,81.5414,100,,,44,24.6,0.09
SZL,2024-01-02,44.8,20.5,30,17.8,,6.354182,214.29369,54.83495,77.91818,90.2863,,,38.6,19.6,0.07
FAM,2024-01-02,,,,,,,,,,,,,43,23.5,0.1
H21,2024-01-02,,,,,,,,,,,,,44.4,26.3,0.09
HAE,2024-01-02,42.8,23,28.4,21.2,,6.310954,211.59987,52.44812,76.29626,92.68535,,,35.1,19.3,0.08
AIZ,2024-01-02,,,,,0,3.0243733,206.46524,,,,,,44.4,26.3,0.09
STL,2024-01-02,45,28,26,21,0,4.6924715,213.33936,44.959816,62.606884,74.8682,0,0,40.7,25,0.1
MHL,2024-01-02,41,23,32,23,,4.1114984,217.36171,65.15513,85.19587,100,,,37.2,20.1,0.06
TKX,2024-01-02,41,28.4,32,26.6,,2.466899,221.53088,60.539837,78.79079,100,,,45.5,30.6,0.13
JEF,2024-01-02,46,20,29,19,0,2.6938264,167.59088,49.02222,75.85177,88.2837,0,0,41.4,23.1,0.08
UNO,2024-01-02,42,18,27,15,0,2.4331334,216.77034,57.153275,76.4632,88.12936,,,44.1,24.9,0.08
FWB,2024-01-02,44.6,23,30.2,23,,1.5156795,227.13564,52.723557,83.2788,100,,,44.5,22.8,0.08
TBN,2024-01-02,46.6,18.5,29.5,15.4,,1.087108,214.79277,52.354183,75.112816,90.2863,,,41.7,21.9,0.13
MCI,2024-01-02,43,22,31,21,0,6.8649125,225.93762,62.178867,81.832375,95.856476,0,0,38.7,20.3,0.04
VER,2024-01-02,94.5,20.5,32,21.6,,3.024735,196.26987,60.109863,84.489,100,,,38.6,21.4,0.06
RCM,2024-01-02,42.8,23,30.2,21.2,,4.9045935,196.07246,60.786903,83.124725,100,,,41,19.6,0.04
EZZ,2024-01-02,43,22,31,21.4,,8.04878,236.82164,62.232265,85.09538,98.33159,,,35,16.6,0.05
RAW,2024-01-02,42.8,21.2,30.2,21.2,,4.565371,227.25778,56.481037,84.046776,100,,,42.7,23.1,0.05
JLN,2024-01-02,46,21,30,20,0,5.7352433,208.6115,55.432976,75.471306,88.07725,,,44.6,25.6,0.08
POF,2024-01-02,41,26,28,23,0,2.9545193,210.33247,61.910385,76.365166,95.9497,,,44.4,28,0.13
STJ,2024-01-02,45,22,30,20,0,4.6924715,225.8004,57.586308,80.98074,95.875374,,,37.3,17.8,0.03
SET,2024-01-02,42,21,28,20,0,3.7365978,219.29733,52.76078,77.346214,92.080986,0,0,40.1,23.4,0.09
VIH,2024-01-02,43,20,28,19,0,6.95181,205.47916,57.298237,79.63927,92.01039,,,40.9,23.3,0.09
SIK,2024-01-02,41,30.2,32,26.6,,2.620209,226.26921,69.876434,82.78436,100,,,44.3,28.9,0.12
K02,2024-01-02,,,,,,,,,,,,,40.4,24.9,0.11
SGF,2024-01-02,46,22,31,21,0,6.082834,188.23201,53.217957,79.53668,92.11594,0,0,43.9,24.8,0.09
FYG,2024-01-02,44.6,21.2,30.2,21.2,,0.48056537,211.30446,56.74297,86.861946,100,,,40.2,20.5,0.1
LXT,2024-01-02,45,24,31,22,0,6.5173216,224.33047,53.217957,75.023796,88.43512,,,39.4,22.7,0.04
LRY,2024-01-02,46.4,21.2,32,21.2,,2.7874565,236.97705,56.74297,82.17533,100,,,39,21.9,0.05
MAW,2024-01-02,41,32,32,26.6,,1.923345,228.214,60.539837,76.03505,92.97254,,,45.6,27.9,0.11
PCD,2024-01-02,42,25,28,23,,4.3205576,198.79158,54.898293,73.67427,89.75385,,,40.4,24.9,0.11
OZS,2024-01-02,42.8,21.2,28.4,19.4,,4.466431,216.84544,52.44812,76.08626,92.74416,,,44.4,26.3,0.09
BBG,2024-01-02,44.6,21.2,30.2,21.2,,1.0759581,156.04805,52.723557,84.231636,100,,,42.8,27.1,0.09
COU,2024-01-02,42,20,29,18,0,6.169731,205.13728,59.554527,79.59422,95.856476,0,0,39.7,23.3,0.07
MBY,2024-01-02,42.8,24.8,30.2,21.2,,6.456446,223.98305,56.481037,76.11511,86.38679,,,37.8,20.7,0.07
GPH,2024-01-02,44.6,21.2,30.2,19.4,,2.132404,243.0865,52.723557,81.94836,100,,,38,18.2,0.04
SUS,2024-01-02,43,21,28,20,0,2.6938264,222.19774,52.76078,78.217834,95.856476,0,0,41.3,23,0.1
LBO,2024-01-02,44.6,23,30.2,19.4,,4.4381623,214.19958,48.95894,77.74777,92.74416,,,42.5,23.1,0.1
EVU,2024-01-02,43,25.5,32.7,24,,6.3344946,255.27716,66.443474,86.328094,100,,,34.3,15.3,0.04
CGI,2024-01-02,40,26,29,24,0,3.5628026,221.81503,63.849762,74.65262,92.04581,,,43.1,27.1,0.13
MKC,2024-01-02,45,25,30,22,0,4.0841885,227.2187,53.217957,74.96426,92.080986,,,40.3,23,0.04
CDJ,2024-01-02,45,22,29,20,0,3.475905,212.55568,53.217957,78.55241,91.97475,,,36.9,19.4,0.05
GLY,2024-01-02,44.6,17.6,30.2,15.8,,2.7456446,223.60536,56.74297,82.52619,100,,,41,20.3,0.06
CDJ,2024-01-03,43,22,30,21,0,2.2593381,327.28528,59.69429,82.82477,95.98612,,,36.8,19.2,0.04
MBY,2024-01-03,37.4,24.8,32,21.2,,2.8850174,278.89188,69.67099,84.74136,100,,,37.7,20.5,0.06
SUS,2024-01-03,38,21,30,20,0,2.5200312,331.05954,69.39407,82.31029,100,0,0,41.2,22.8,0.09
CGI,2024-01-03,49,23,34,22,0,4.0841885,350.216,56.017876,79.056816,95.89414,,,43,26.9,0.12
GLY,2024-01-03,42.8,21.2,33.8,19.4,0.03,2.2439024,11.153585,64.926704,90.285126,100,,,40.9,20.1,0.07
MAW,2024-01-03,50,30.2,33.8,28.4,,3.0243902,273.47696,53.538376,80.52536,100,,,45.5,27.8,0.11
GPH,2024-01-03,42.8,23,30.2,21.2,,2.815331,334.8308,56.481037,87.19444,100,,,37.9,18.1,0.03
LBO,2024-01-03,46.4,28.4,32,26.6,,3.9860628,312.41983,49.243,79.44016,93.02798,,,42.4,23,0.1
OZS,2024-01-03,44.6,28.4,32,26.6,,4.2369337,304.19315,56.74297,83.21005,100,,,44.3,26.1,0.08
PCD,2024-01-03,45.7,21,33,19.8,,4.9512196,346.92386,58.979042,80.73791,95.89414,,,40.3,24.7,0.1
EVU,2024-01-03,34,27,34,26.4,,3.7526133,356.21924,90.36029,98.30936,100,,,34.2,15.1,0.03
MKC,2024-01-03,45,25,30,25,0,3.1283145,328.2982,53.066162,80.40914,95.96797,,,40.1,22.9,0.03
BBG,2024-01-03,48.2,28.4,32,26.6,,2.2432055,297.5741,53.268673,80.81537,100,,,42.7,27,0.1
COU,2024-01-03,39,24,31,25,0,4.0841885,299.75473,75.5557,87.42712,100,0,0,39.6,23.1,0.07
HAE,2024-01-03,35.6,28.4,30.2,26.6,,2.369338,318.86533,74.804924,84.46232,92.97254,,,35,19.1,0.07
IRK,2024-01-03,41,19,28,18,0,3.7365978,333.08948,61.910385,84.47211,95.93131,,,34.7,18.4,0.06
HFJ,2024-01-03,46.4,26.6,32,26.6,,2.958188,311.09274,57.002926,83.226006,100,,,44,24.5,0.1
AIZ,2024-01-03,,,,,0,1.7917827,324.14694,,,,,,44.3,26.1,0.08
MCI,2024-01-03,43,26,31,25,0,4.8662667,350.81448,64.754776,89.469604,100,0,0,38.6,20.2,0.04
MYJ,2024-01-03,33.8,21.2,32,21.2,,3.4947736,291.82358,86.281944,94.538185,100,,,37.8,20.2,0.06
SZL,2024-01-03,32.4,21.6,28.6,19.4,0.0001,2.3818815,350.99814,86.363594,91.78463,100,,,38.5,19.5,0.08
DMO,2024-01-03,32,26,29,23,0,4.0841885,293.99548,81.47782,89.27515,96.00415,,,38.9,21.9,0.06
TBN,2024-01-03,50,24.8,32,23,,1.630662,320.97168,49.805668,77.998375,92.80228,,,41.6,21.8,0.13
JEF,2024-01-03,42,23,31,22,0,2.5200312,306.32,67.304695,81.34811,92.080986,0,0,41.2,22.9,0.07
FWB,2024-01-03,48.2,26.6,33.8,26.6,,3.358885,327.94348,53.268673,79.95062,100,,,44.5,22.7,0.08
H21,2024-01-03,,,,,,,,,,,,,44.3,26.1,0.08
TKX,2024-01-03,48.2,28.4,37.4,28.4,,3.3310103,237.82153,57.260918,89.87097,100,,,45.4,30.5,0.12
UNO,2024-01-03,50,24,31,22,0,3.5628026,312.50726,47.833282,72.086296,91.97475,,,44,24.8,0.09
STL,2024-01-03,40,28,29,24,0,5.0400624,323.25043,61.502964,69.30101,81.32336,0,0,40.6,24.8,0.09
FAM,2024-01-03,46,32,31,25,,2.8154597,347.60745,57.72942,67.27274,86.38679,,,42.9,23.4,0.1
MHL,2024-01-03,33.8,24.8,32,23,,2.7770035,303.90762,86.49047,97.95408,100,,,37.1,19.9,0.06
LRY,2024-01-03,44.6,26.6,32,24.8,,2.0627177,1.6069899,52.723557,84.2354,100,,,38.9,21.7,0.05
FYG,2024-01-03,39.2,23,33.8,23,,0.989547,320.77267,74.804924,88.93455,100,,,40.1,20.4,0.08
SIK,2024-01-03,48.2,26.6,35.6,26.6,,2.3554008,302.77097,61.516136,86.71145,100,,,44.2,28.8,0.13
SET,2024-01-03,38,22,31,21,0,3.475905,334.23547,66.81778,79.82649,92.15066,0,0,40,23.2,0.11
JLN,2024-01-03,48,25,32,24,0,3.475905,353.33646,51.544376,73.77167,96.00415,,,44.5,25.5,0.07
K02,2024-01-03,,,,,,,,,,,,,40.3,24.7,0.1
EZZ,2024-01-03,40,24.8,31.6,24.8,0.03,5.919861,334.16965,67.889244,93.03464,100,,,34.9,16.4,0.05
SGF,2024-01-03,48,23,32,22,0,4.2579837,325.70096,51.390778,77.2251,95.91279,0,0,43.8,24.7,0.1
RCM,2024-01-03,35.6,23,30.2,23,,2.0905924,310.31104,80.363884,93.10064,100,,,40.9,19.4,0.03
LXT,2024-01-03,45,25,29,23,0,4.5186763,345.0762,51.081852,79.38834,96.00415,,,39.2,22.6,0.04
VER,2024-01-03,94.5,20.5,32.5,24.8,,1.5365853,298.02374,85.909164,96.45058,100,,,38.5,21.2,0.07
POF,2024-01-03,50,24,35,22,0,2.6938264,93.40967,56.017876,78.53863,95.93131,,,44.4,27.9,0.14
STJ,2024-01-03,41,24,31,23,0,4.8662667,2.7720835,67.183876,88.53823,96.02206,,,37.2,17.7,0.02
RAW,2024-01-03,39.2,26.6,32,26.6,,3.3205576,7.245182,69.876434,94.79762,100,,,42.6,22.9,0.05
VIH,2024-01-03,44,22,31,21,0,4.6924715,311.18735,59.833435,80.23803,95.875374,,,40.8,23.2,0.08
VIH,2024-01-04,42,28,26,21,0,4.7793694,80.67353,50.457027,69.10381,84.78886,,,40.7,23,0.08
RAW,2024-01-04,41,23,32,21.2,,2.2857144,115.71973,60.539837,87.14264,100,,,42.5,22.7,0.06
SGF,2024-01-04,41,23,30,22,0,5.7352433,121.41352,64.499306,83.42247,95.9497,0,0,43.8,24.6,0.1
JLN,2024-01-04,44,26,29,23,0,5.2138577,89.02802,55.285244,72.225746,84.724075,,,44.4,25.4,0.08
POF,2024-01-04,42,24,28,21,0,4.9531646,41.990723,52.607193,72.88032,88.48496,,,44.3,27.8,0.14
SET,2024-01-04,42,24,28,23,0,2.3462358,92.331856,50.29936,72.31185,92.04581,0,0,39.9,23,0.1
LXT,2024-01-04,38,25,29,23,0,5.6483455,72.698395,69.62508,84.72125,92.080986,,,39.1,22.5,0.04
K02,2024-01-04,,,,,,,,,,,,,40.2,24.6,0.1
FYG,2024-01-04,42.8,24.8,33.8,24.8,,0.15547703,88.26101,52.44812,80.53003,100,,,39.9,20.3,0.09
EZZ,2024-01-04,33.8,28,29,26.2,,4.958188,88.63061,80.99382,90.53273,99.18476,,,34.8,16.2,0.04
LRY,2024-01-04,37.4,28.4,32,26.6,,4.9094076,80.29602,74.98241,91.28394,100,,,38.8,21.6,0.04
SIK,2024-01-04,44.6,26.6,32,26.6,,4.4216027,38.9313,52.723557,77.932755,100,,,44.1,28.6,0.13
VER,2024-01-04,94.5,20.5,35,23,,1.7003484,75.093056,67.11734,89.258705,100,,,38.3,21,0.07
STJ,2024-01-04,36,31,29,28,0,5.2138577,91.67149,72.43028,81.052124,88.534485,,,37.1,17.5,0.03
RCM,2024-01-04,33.8,21.2,30.2,21.2,,3.0557492,28.136982,86.068695,93.38171,100,,,40.8,19.3,0.03
MBY,2024-01-04,37.4,28.4,28.4,23,,3.1986063,63.28381,64.69628,78.78245,92.91646,,,37.5,20.3,0.07
GLY,2024-01-04,41,24.8,35.6,24.8,,2.271777,81.15266,65.15513,88.85934,100,,,40.8,20,0.06
COU,2024-01-04,42,25,31,23,0,3.910393,99.31062,54.987957,80.219055,100,0,0,39.5,23,0.08
OZS,2024-01-04,42.8,21.2,32,21.2,,2.9823322,98.99437,48.67305,78.41654,100,,,44.2,26,0.08
PCD,2024-01-04,43,22.3,28,20.3,,3.5017421,36.41538,46.714233,69.60493,88.12936,,,40.2,24.6,0.1
BBG,2024-01-04,35.6,23,32,23,,3.0745645,113.55095,80.50772,95.67641,100,,,42.6,26.9,0.09
SUS,2024-01-04,41,21,29,21,0,1.7379525,64.74669,52.453003,74.60202,95.875374,0,0,41.1,22.7,0.09
EVU,2024-01-04,33.3,29.5,30.6,25.5,,4.121951,119.62343,83.21689,87.452065,94.099365,,,34.1,14.9,0.03
GPH,2024-01-04,35.6,23,30.2,23,,2.2578397,109.354805,74.804924,87.60875,100,,,37.8,17.9,0.03
CDJ,2024-01-04,36,26,27,23,0,2.085543,66.23421,72.21591,78.47139,92.080986,,,36.7,19.1,0.05
MKC,2024-01-04,38,29,29,27,0,4.9531646,77.6618,69.62508,79.51029,88.43512,,,40,22.7,0.04
MAW,2024-01-04,41,28.4,32,26.6,,4.979094,38.081924,60.539837,79.17699,93.02798,,,45.4,27.7,0.11
CGI,2024-01-04,44,25,27,22,0,5.8221407,33.94792,44.959816,66.51004,84.724075,,,42.9,26.8,0.12
LBO,2024-01-04,42.8,23,30.2,21.2,,4.195122,102.338936,45.141415,74.39891,100,,,42.3,22.9,0.1
MCI,2024-01-04,35,27,29,27,0,6.8649125,89.17912,75.362,86.15902,95.96797,0,0,38.5,20.1,0.04
UNO,2024-01-04,42,25,27,22,0,5.0400624,68.79472,52.607193,74.13318,84.91722,,,43.9,24.7,0.09
HAE,2024-01-04,41,30.2,28.4,21.2,,1.4355401,91.343636,48.385334,69.86268,86.38679,,,34.8,18.9,0.07
MYJ,2024-01-04,39.2,23,30.2,21.2,,1.9651568,88.26849,64.69628,85.81945,100,,,37.7,20,0.06
FAM,2024-01-04,40,23,26,20,,4.1114206,50.27551,50.29936,69.39034,88.12936,,,42.8,23.3,0.1
TKX,2024-01-04,39.2,24.8,32,24.8,,5.944251,35.53145,69.876434,86.58012,100,,,45.3,30.3,0.12
AIZ,2024-01-04,,,,,0.0001,2.7381616,81.43763,,,,,,44.2,26,0.08
MHL,2024-01-04,35.6,23,32,23,,2.6898954,59.711876,86.281944,93.16227,100,,,37,19.8,0.05
SZL,2024-01-04,39.2,18.5,32,16.7,0.0001,2.1665506,72.52694,72.642365,89.429436,100,,,38.4,19.3,0.07
FWB,2024-01-04,37.4,26.6,30.2,26.6,,4.902439,109.53294,69.67099,89.03653,100,,,44.5,22.6,0.08
STL,2024-01-04,44,29,27,21,0,3.475905,83.461586,44.796215,60.24175,71.669754,0,0,40.5,24.6,0.1
TBN,2024-01-04,46,26.4,26.6,20.7,,1.2543554,98.631294,43.27863,67.32548,93.99321,,,41.6,21.6,0.13
DMO,2024-01-04,40,22,30,17,0,3.3890073,93.649506,69.739685,82.46346,92.15066,,,38.8,21.8,0.05
HFJ,2024-01-04,41,26.6,30.2,24.8,0.03,6.728223,96.38485,60.539837,85.36805,100,,,43.9,24.4,0.1
IRK,2024-01-04,37,18,26,16,0,2.6069288,82.94341,56.419106,77.63438,91.79295,,,34.6,18.3,0.05
H21,2024-01-04,,,,,,,,,,,,,44.2,26,0.08
JEF,2024-01-04,44,24,30,23,0,3.1283145,107.63984,48.863846,74.62456,92.8597,0,0,41.1,22.8,0.08
MYJ,2024-01-05,33.8,23,32,21.2,,5.4982333,103.9094,80.363884,89.345695,100,,,37.6,19.9,0.06
MCI,2024-01-05,33,29,32,25,0.14,6.3435264,100.401146,78.251175,88.50499,100,1.1,0,38.4,19.9,0.04
UNO,2024-01-05,33,24,31,22,0.17,4.5186763,96.940056,74.96806,85.40155,96.03984,,,43.9,24.6,0.09
AIZ,2024-01-05,,,,,0.01,3.6977715,105.16524,,,,,,44.1,25.9,0.09
FWB,2024-01-05,33.8,28.4,33.8,26.6,0.01,6.7038326,117.238914,86.281944,98.088905,100,,,44.4,22.4,0.08
SZL,2024-01-05,39.4,27.7,32,24,0.0001,4.6,108.03619,64.24136,79.51571,93.02798,,,38.3,19.1,0.07
TBN,2024-01-05,37.4,26.6,32,22,0.0001,3.9133193,119.678795,60.03962,79.83716,93.38041,,,41.5,21.5,0.13
JEF,2024-01-05,40,27,32,23,0.01,6.082834,107.337395,59.27313,76.11319,92.287315,,,41,22.7,0.07
HAE,2024-01-05,35.6,28.4,30.2,23,,3.9337978,114.98054,69.04303,76.720276,86.49047,,,34.7,18.8,0.08
MHL,2024-01-05,35.6,28.4,32,24.8,,6.8675957,104.22661,74.804924,88.51771,100,,,36.8,19.6,0.05
TKX,2024-01-05,39.2,26.6,39.2,26.6,,6.2996516,78.51298,74.98241,92.46052,100,,,45.2,30.2,0.12
H21,2024-01-05,,,,,,,,,,,,,44.1,25.9,0.09
IRK,2024-01-05,38,23,28,21,0.0001,6.95181,115.4853,64.24136,80.92516,91.90275,,,34.5,18.1,0.06
HFJ,2024-01-05,37.4,30.2,33.8,26.6,0.01,8.188153,121.4405,80.21852,92.072525,100,,,43.8,24.2,0.09
STL,2024-01-05,41,28,31,22,0.16,6.95181,110.31203,52.453003,67.872925,85.16928,1.7,2,40.4,24.5,0.1
FAM,2024-01-05,36,21,31,19,0,3.2674096,122.112686,61.36589,82.63809,100,,,42.7,23.2,0.1
DMO,2024-01-05,39,29,31,23,0.0001,6.6042194,113.89828,64.24136,78.44583,92.25349,,,38.7,21.6,0.05
POF,2024-01-05,37,24,34,21,0.18,4.5186763,61.830814,69.50987,82.87124,92.35433,,,44.2,27.7,0.13
LXT,2024-01-05,34,29,32,24,0.11,5.0400624,98.67303,74.62566,85.783035,96.05751,,,39,22.3,0.04
VER,2024-01-05,94.5,20.5,33.3,26,,6.4558306,106.475136,66.83779,84.773056,99.60013,,,38.2,20.8,0.07
SIK,2024-01-05,39.2,26.6,37.4,24.8,0.04,4.097561,82.878914,69.876434,87.107315,100,,,44,28.5,0.13
STJ,2024-01-05,36,29,32,25,0.1,4.431779,90.31877,74.62566,84.22395,96.05751,,,37.1,17.4,0.02
VIH,2024-01-05,37,27,31,21,0.02,7.0387077,114.745766,63.980927,79.37658,96.03984,,,40.6,22.9,0.09
JLN,2024-01-05,42,32,36,25,0.02,7.2994003,125.11514,72.10786,77.9581,92.42049,,,44.4,25.3,0.07
RAW,2024-01-05,37.4,30.2,32,24.8,,5.0278745,140.62796,69.46363,83.99109,100,,,42.4,22.6,0.06
SET,2024-01-05,39,24,31,20,0.03,7.386298,103.9398,59.131485,78.41661,92.25349,,,39.8,22.8,0.09
RCM,2024-01-05,35.6,28.4,32,24.8,,3.9721255,86.145966,74.804924,91.37575,100,,,40.7,19.1,0.02
K02,2024-01-05,,,,,,,,,,,,,40.1,24.5,0.1
SGF,2024-01-05,36,30,33,25,0.01,11.035998,144.28314,78.16274,86.528366,96.075066,0.0001,0,43.7,24.5,0.09
LRY,2024-01-05,35.6,32,33.8,28.4,,4.041812,115.13678,80.50772,89.6372,100,,,38.7,21.4,0.05
FYG,2024-01-05,37.4,23,33.8,23,,1.6585366,104.988075,64.69628,85.31828,100,,,39.8,20.2,0.09
EZZ,2024-01-05,34.5,26.2,31.5,24.6,0.03,6.9686413,111.78232,78.08741,91.06421,100,,,34.7,16,0.04
LBO,2024-01-05,35.6,30.2,32,24.8,,6.491166,135.24417,69.46363,85.58954,100,,,42.3,22.7,0.11
PCD,2024-01-05,38,21.2,32,19,0.05,3.2195122,119.76746,63.660873,84.77342,100,,,40.1,24.5,0.1
CGI,2024-01-05,39,22,36,20,0.04,4.9531646,92.36498,64.24136,77.80177,92.42049,,,42.8,26.7,0.12
MKC,2024-01-05,35,31,32,25,0.07,4.5186763,73.53703,75.067375,84.64554,96.05751,,,39.9,22.6,0.03
GLY,2024-01-05,37.4,30.2,35.6,24.8,0.1,4.02439,120.18082,69.67099,88.22317,100,,,40.7,19.9,0.06
OZS,2024-01-05,35.6,28.4,32,23,,4.8222995,122.113914,69.46363,84.14329,100,,,44.1,25.9,0.09
GPH,2024-01-05,33.8,30.2,32,26.6,,3.163763,107.35897,80.21852,87.867424,100,,,37.8,17.8,0.03
SUS,2024-01-05,38,22,32,21,0.06,3.9972906,95.451,59.131485,81.05362,100,,,41,22.5,0.1
EVU,2024-01-05,34.7,29.3,32,27.5,0.01,5,113.44806,80.43599,91.10577,100,,,33.9,14.7,0.04
COU,2024-01-05,37,27,31,23,0.06,7.386298,110.507675,66.69452,82.62243,96.03984,0.3,0.0001,39.4,22.9,0.07
MAW,2024-01-05,37.4,28.4,35.6,26.6,0.12,4.0696864,74.58104,74.98241,84.75826,93.13691,,,45.3,27.6,0.11
